"ContainerName","StorageSize","NumberOfBlobs"
"1000","2","2"
"1001","6247","1"
"1002","3","3"
"1000","2","2"
"1001","6247","1"
"1002","3","3"
"1000","2","2"
"1001","6247","1"
"1002","3","3"
"1000","2","2"
"1001","6247","1"
"1002","3","3"
"1000","2","2"
"1001","6247","1"
"1002","3","3"
